Sport,206.99995220059446
Dir,nan
State,59.46069373949505
Proto,41.02865430316994
Dport,21.87791867645217
DstAddr,8.191188310892194
SrcAddr,4.386924596124905
Dur,1.6066439551122766
TotBytes,0.4417578978295485
TotPkts,0.38117090879717375
dTos,0.02419815641131651
sTos,0.013048732735138914
SrcBytes,0.0029575377959810173
StartTime,0.0
X:/its/0-botnetCollection/datasets/CTU-13-Dataset/7/capture20110816-2.binetflow,anova
Sport,19.310344827586206
Dir,16.65024630541872
State,14.187192118226601
Proto,11.921182266009852
Dport,9.852216748768473
DstAddr,7.980295566502463
SrcAddr,6.305418719211822
Dur,4.827586206896552
TotBytes,3.5467980295566504
TotPkts,2.4630541871921183
dTos,1.5763546798029555
sTos,0.8866995073891626
SrcBytes,0.3940886699507389
StartTime,0.09852216748768472
X:/its/0-botnetCollection/datasets/CTU-13-Dataset/7/capture20110816-2.binetflow,weighted-anova
